Hakem ID,İsim,Uzmanlık Alanları,Geçmiş Proje Başlıkları,cleaned_expertise,cleaned_past_projects,bert_input
1,Prof. Dr. Ahmet Yılmaz,"Nöroloji, Nörodejeneratif Hastalıklar, Klinik Nörofizyoloji","Multiple Skleroz Hastalarında Biyobelirteç Analizi, Parkinson Hastalığında Nöral Stimülasyon Çalışmaları, Nörodejeneratif Hastalıklarda Yapay Zeka Uygulamaları",nöroloji nörodejeneratif hastalıklar klinik nörofizyoloji,multiple skleroz hastalarında biyobelirteç analizi parkinson hastalığında nöral stimülasyon çalışmaları nörodejeneratif hastalıklarda yapay zeka uygulamaları,nöroloji nörodejeneratif hastalıklar klinik nörofizyoloji multiple skleroz hastalarında biyobelirteç analizi parkinson hastalığında nöral stimülasyon çalışmaları nörodejeneratif hastalıklarda yapay zeka uygulamaları
2,Doç. Dr. Zeynep Kaya,"Kadın Hastalıkları ve Doğum, Endokrinoloji, Üreme Tıbbı","PCOS'ta Hormonal Değişikliklerin İncelenmesi, Endometriozis Tedavisinde Yeni Yaklaşımlar, İnfertilite Tedavisinde Biyobelirteç Araştırmaları",kadın hastalıkları doğum endokrinoloji üreme tıbbı,pcos ta hormonal değişikliklerin i ncelenmesi endometriozis tedavisinde yeni yaklaşımlar i nfertilite tedavisinde biyobelirteç araştırmaları,kadın hastalıkları doğum endokrinoloji üreme tıbbı pcos ta hormonal değişikliklerin i ncelenmesi endometriozis tedavisinde yeni yaklaşımlar i nfertilite tedavisinde biyobelirteç araştırmaları
3,Prof. Dr. Mehmet Demir,"Göz Hastalıkları, Retina, Yapay Zeka","Diyabetik Retinopati Tarama Sistemleri, Retinal Görüntülemede Derin Öğrenme, Oftalmolojide Yapay Zeka Uygulamaları",göz hastalıkları retina yapay zeka,diyabetik retinopati tarama sistemleri retinal görüntülemede derin öğrenme oftalmolojide yapay zeka uygulamaları,göz hastalıkları retina yapay zeka diyabetik retinopati tarama sistemleri retinal görüntülemede derin öğrenme oftalmolojide yapay zeka uygulamaları
4,Prof. Dr. Ayşe Özkan,"Kök Hücre Biyolojisi, Rejeneratif Tıp, Doku Mühendisliği","Mezenkimal Kök Hücre Tedavi Protokolleri, Doku Rejenerasyonunda Eksozom Uygulamaları, Kök Hücre Tedavisinde Yeni Nesil Yaklaşımlar",kök hücre biyolojisi rejeneratif tıp doku mühendisliği,mezenkimal kök hücre tedavi protokolleri doku rejenerasyonunda eksozom uygulamaları kök hücre tedavisinde yeni nesil yaklaşımlar,kök hücre biyolojisi rejeneratif tıp doku mühendisliği mezenkimal kök hücre tedavi protokolleri doku rejenerasyonunda eksozom uygulamaları kök hücre tedavisinde yeni nesil yaklaşımlar
5,Doç. Dr. Mustafa Aydın,"Moleküler Biyoloji, Genetik, CRISPR Teknolojisi","CRISPR-Cas9 ile Gen Düzenleme Çalışmaları, Kanser Genetiği Araştırmaları, Moleküler Tanı Yöntemleri Geliştirme",moleküler biyoloji genetik crispr teknolojisi,crispr cas gen düzenleme çalışmaları kanser genetiği araştırmaları moleküler tanı yöntemleri geliştirme,moleküler biyoloji genetik crispr teknolojisi crispr cas gen düzenleme çalışmaları kanser genetiği araştırmaları moleküler tanı yöntemleri geliştirme
6,Prof. Dr. Selin Arslan,"Nöropsikoloji, Beyin Görüntüleme, Kognitif Nörobilim","Alzheimer Hastalığında Tau Protein Çalışmaları, Nörodejeneratif Hastalıklarda Biyobelirteçler, Beyin Görüntülemede İleri Analiz Teknikleri",nöropsikoloji beyin görüntüleme kognitif nörobilim,alzheimer hastalığında tau protein çalışmaları nörodejeneratif hastalıklarda biyobelirteçler beyin görüntülemede i leri analiz teknikleri,nöropsikoloji beyin görüntüleme kognitif nörobilim alzheimer hastalığında tau protein çalışmaları nörodejeneratif hastalıklarda biyobelirteçler beyin görüntülemede i leri analiz teknikleri
7,Doç. Dr. Can Öztürk,"Onkoloji, Sıvı Biyopsi, Moleküler Tanı","Metastatik Kanserde Sıvı Biyopsi Uygulamaları, Tümör DNA'sı Analiz Yöntemleri, Kanser Tedavisinde Kişiselleştirilmiş Yaklaşımlar",onkoloji sıvı biyopsi moleküler tanı,metastatik kanserde sıvı biyopsi uygulamaları tümör dna sı analiz yöntemleri kanser tedavisinde kişiselleştirilmiş yaklaşımlar,onkoloji sıvı biyopsi moleküler tanı metastatik kanserde sıvı biyopsi uygulamaları tümör dna sı analiz yöntemleri kanser tedavisinde kişiselleştirilmiş yaklaşımlar
8,Prof. Dr. Elif Yılmaz,"Üroloji, Androloji, Üreme Sağlığı","Erkek İnfertilitesinde Genetik Faktörler, Sperm DNA Fragmantasyon Analizi, Ürolojik Hastalıklarda Biyobelirteç Araştırmaları",üroloji androloji üreme sağlığı,erkek i nfertilitesinde genetik faktörler sperm dna fragmantasyon analizi ürolojik hastalıklarda biyobelirteç araştırmaları,üroloji androloji üreme sağlığı erkek i nfertilitesinde genetik faktörler sperm dna fragmantasyon analizi ürolojik hastalıklarda biyobelirteç araştırmaları
9,Doç. Dr. Kemal Şahin,"Nefroloji, Transplantasyon, Kök Hücre","Böbrek Yetmezliğinde Kök Hücre Tedavisi, Renal Fibrozis Mekanizmaları, Transplantasyonda İmmünolojik Yaklaşımlar",nefroloji transplantasyon kök hücre,böbrek yetmezliğinde kök hücre tedavisi renal fibrozis mekanizmaları transplantasyonda i mmünolojik yaklaşımlar,nefroloji transplantasyon kök hücre böbrek yetmezliğinde kök hücre tedavisi renal fibrozis mekanizmaları transplantasyonda i mmünolojik yaklaşımlar
10,Prof. Dr. Aylin Kaya,"Nörogelişimsel Bozukluklar, Mikrobiyota, Metabolomik","Otizmde Mikrobiyota-Bağırsak-Beyin Aksı, Nörogelişimsel Hastalıklarda Metabolomik Analiz, Pediatrik Nörolojide Biyobelirteçler",nörogelişimsel bozukluklar mikrobiyota metabolomik,otizmde mikrobiyota bağırsak beyin aksı nörogelişimsel hastalıklarda metabolomik analiz pediatrik nörolojide biyobelirteçler,nörogelişimsel bozukluklar mikrobiyota metabolomik otizmde mikrobiyota bağırsak beyin aksı nörogelişimsel hastalıklarda metabolomik analiz pediatrik nörolojide biyobelirteçler
