Proje ID,Hakem ID,Benzerlik
1,1,0.9245944
1,22,0.8764138
1,56,0.8728979
1,331,0.8590003
1,314,0.8577914
1,16,0.8547166
1,3,0.85314167
1,59,0.8443199
1,322,0.83702266
1,300,0.8316144
2,235,0.83975345
2,146,0.817284
2,5,0.81660277
2,179,0.80437994
2,171,0.80151653
2,233,0.7916533
2,226,0.7896153
2,158,0.7859441
2,250,0.7849906
2,236,0.7828224
3,3,0.8998369
3,314,0.8768667
3,56,0.8616971
3,59,0.83832717
3,189,0.8355889
3,1,0.8215331
3,307,0.8184674
3,22,0.8092547
3,28,0.7939786
3,331,0.7875621
4,251,0.79432094
4,187,0.7859636
4,242,0.77464736
4,1,0.7599557
4,134,0.7502393
4,133,0.74311095
4,16,0.7379616
4,343,0.7369707
4,327,0.73583704
4,219,0.7301774
5,299,0.9701323
5,4,0.96757245
5,9,0.88484615
5,196,0.8801579
5,234,0.8328322
5,117,0.80383945
5,161,0.8016845
5,138,0.79340094
5,247,0.7921496
5,131,0.79173833
6,5,0.88215697
6,235,0.8467342
6,146,0.83736336
6,131,0.8172298
6,109,0.8026613
6,138,0.8000111
6,338,0.7941703
6,250,0.7796842
6,158,0.7761129
6,346,0.7700112
7,6,0.83067715
7,198,0.7991477
7,169,0.79292965
7,200,0.78737164
7,238,0.78422594
7,13,0.78271997
7,188,0.7814409
7,193,0.78110033
7,318,0.77255934
7,147,0.768173
8,226,0.9000036
8,7,0.89304525
8,186,0.8590721
8,202,0.8275031
8,158,0.79403096
8,15,0.77511024
8,183,0.77325326
8,170,0.7611108
8,255,0.7486368
8,17,0.7452701
9,169,0.8451859
9,264,0.84333473
9,241,0.8429358
9,313,0.83656555
9,200,0.82059276
9,293,0.8205816
9,150,0.8201102
9,291,0.8157821
9,188,0.8155766
9,198,0.8087194
10,9,0.9095494
10,299,0.8917341
10,4,0.8896488
10,234,0.8590709
10,196,0.85354465
10,276,0.8294723
10,260,0.81533027
10,137,0.8009624
10,117,0.7965053
10,161,0.7769375
11,10,0.9015516
11,254,0.8389286
11,1,0.8138843
11,187,0.80186033
11,190,0.794926
11,139,0.7869832
11,331,0.7868133
11,59,0.7847041
11,16,0.7840083
11,314,0.7817228
